-4.766847610473632812e+00 -4.460903167724609375e+00 -2.256846427917480469e+00
-3.513503551483154297e+00 -5.196619510650634766e+00 -5.508178234100341797e+00
-3.155532360076904297e+00 -4.646942138671875000e+00 -2.529258012771606445e+00
-4.292489051818847656e+00 -4.740026950836181641e+00 -5.723621845245361328e+00
-3.259281635284423828e+00 -4.602694034576416016e+00 -4.778709888458251953e+00
-4.128899574279785156e+00 -4.667216300964355469e+00 -3.709280729293823242e+00
-4.379354476928710938e+00 -4.257039546966552734e+00 -2.537824630737304688e+00
-4.548024177551269531e+00 -5.457787990570068359e+00 -4.848510742187500000e+00
-3.581338644027709961e+00 -4.753521919250488281e+00 -5.761155605316162109e+00
-3.604509592056274414e+00 -4.270444393157958984e+00 -5.068088054656982422e+00
-5.516755104064941406e+00 -4.187337875366210938e+00 -4.258090019226074219e+00
-5.472412109375000000e+00 -5.599613666534423828e+00 -4.576139450073242188e+00
-4.353322505950927734e+00 -4.815444469451904297e+00 -4.289231777191162109e+00
-4.156475067138671875e+00 -4.367933750152587891e+00 -3.674122095108032227e+00
-4.708260536193847656e+00 -4.213180065155029297e+00 -2.246004819869995117e+00
-3.929850339889526367e+00 -4.477346897125244141e+00 -4.802611827850341797e+00
-5.417801856994628906e+00 -4.416123867034912109e+00 -5.496808528900146484e+00
-4.573402404785156250e+00 -5.582429409027099609e+00 -2.487140893936157227e+00
-4.128899574279785156e+00 -4.667216300964355469e+00 -3.709280729293823242e+00
-4.637783050537109375e+00 -4.370249748229980469e+00 -4.902020931243896484e+00
-5.713090896606445312e+00 -4.213793754577636719e+00 -2.280307292938232422e+00
-5.750937461853027344e+00 -4.363528251647949219e+00 -2.285141468048095703e+00
-3.923649072647094727e+00 -5.042175769805908203e+00 -5.854196548461914062e+00
-4.637605667114257812e+00 -4.154764175415039062e+00 -5.791372776031494141e+00
-4.542947292327880859e+00 -4.412691593170166016e+00 -5.060558795928955078e+00
-4.691061019897460938e+00 -4.354453086853027344e+00 -5.010685920715332031e+00
-5.538479804992675781e+00 -4.499340057373046875e+00 -5.692142009735107422e+00
-4.002483367919921875e+00 -3.202116966247558594e+00 -6.004412174224853516e+00
-4.672871589660644531e+00 -4.062749385833740234e+00 -5.659820556640625000e+00
